sample	ID	Region	Identity	Product	Organism
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000656: 169-3770	0.4379503548003344	['Terpene']	Xanthobacter autotrophicus Py2
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000640: 2399-8466	0.43871253664578047	['Terpene']	Enterobacteriaceae bacterium DC404
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000630: 389-6051	0.4204663312331509	['Terpene']	Paracoccus haeundaensis
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000643: 363-10046	0.4406073844828075	['Terpene']	Brevundimonas vesicularis
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000634: 1312-11784	0.4285966735399661	['Terpene']	Brevundimonas sp. SD212
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000633: 0-14284	0.4241667329454437	['Terpene']	Streptomyces avermitilis
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000664: 0-8391	0.4233505531312202	['Terpene']	Streptomyces griseus subsp. griseus NBRC 13350
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0001456: 0-9777	0.4257889783866138	['Terpene']	Streptomyces argillaceus
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0001227: 0-12144	0.429391844967733	['Terpene']	Streptomyces collinus Tu 365
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000639: 324-6564	0.4469442853000438	['Terpene']	Enterobacteriaceae bacterium DC260
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000641: 1208-7454	0.4469442853000438	['Terpene']	Enterobacteriaceae bacterium DC416
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000635: 630-8818	0.4204663312331509	['Terpene']	Paracoccus sp. N81106
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000638: 224-6452	0.41065661056490554	['Terpene']	Pantoea ananatis
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000645: 0-7475	0.42005069033571446	['Terpene']	Halobacillus halophilus DSM 2266
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000644: 97-6276	0.43018399288437476	['Terpene']	Dietzia sp. CQ4
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0001521: 1747-26349	0.44211270367206834	['NRP']	Herpetosiphon aurantiacus DSM 785
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000663: 0-13757	0.4383317541925318	['Terpene']	Streptomyces coelicolor A3(2)
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000881: 83-10493	0.4253846627454299	['Other']	Streptomyces ahygroscopicus subsp. wuzhouensis
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0001808: 0-10410	0.4253846627454299	['Other']	Streptomyces diastatochromogenes
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000843: 0-23666	0.43448907485981697	['Other (Non-NRP beta-lactam)']	Streptomyces clavuligerus ATCC 27064
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000665: 0-21259	0.5010000120002592	['Terpene', 'Alkaloid']	Streptomyces sp. HKI0576
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000360: 0-55651	0.4577865645850389	['NRP']	Streptomyces sp. L-49973
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000227: 1098-38839	0.4321514790331078	['Polyketide']	Streptomyces violaceoruber
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0001053: 0-82797	0.4137000565967187	['NRP', 'Polyketide']	Archangium disciforme
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000666: 0-29371	0.5010000120002592	['Terpene']	Streptomyces sp. SCSIO 02999
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0001156: 94-35670	0.49766651420429225	['Terpene']	Streptomyces platensis
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0000973: 548-46105	0.45600590049224954	['NRP', 'Polyketide']	Streptomyces sp. CS40
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0001140: 97-41076	0.49766651420429225	['Terpene']	Streptomyces platensis
BGG_OOSDC	NODE_2_length_293202_cov_14.5	BGC0001751: 56-69468	0.41283595373477605	['NRP', 'Polyketide']	Pyxidicoccus sp. MCy9557
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0002404: 204-23152	0.4261924757145468	['Other']	Solanum lycopersicum
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0002076: 6-3180	0.45205298792470316	['Other']	Pseudomonas jessenii
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0001928: 108-8402	0.4491450399371519	['Other']	Streptomyces sp. MA37
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0000888: 0-4342	0.45385602955748333	['Other']	Bacillus sp. CS93
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0001184: 0-7298	0.4524144586629455	['Other']	Bacillus velezensis FZB42
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0000867: 21-5822	0.49099123666254757	['Other']	Ectothiorhodospira shaposhnikovii
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0002425: 1265-25473	0.43018399288437476	['RiPP']	Streptomyces sp.
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0000866: 467-5165	0.4669051112223658	['Other']	Burkholderia sp. DSM 9242
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0001197: 0-12679	0.44731230422253565	['Polyketide']	Frankia sp. EAN1pec
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0000231: 189-5010	0.43410119582301154	['Polyketide']	Streptomyces griseus
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0001775: 2711-20673	0.4204663312331509	['Terpene']	Cordana terrestris
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0000218: 27-8720	0.45023895605663694	['Polyketide']	Streptomyces peucetius
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0000887: 1816-30991	0.4462067390357758	['Alkaloid']	Dolichospermum circinale AWQC131C
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0000507: 0-7191	0.41963412277761947	['RiPP']	Staphylococcus epidermidis
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0002496: 894-14801	0.44877945889681464	['NRP']	Serratia plymuthica
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0000204: 4242-15189	0.4406073844828075	['Polyketide']	Streptomyces sp. A2991200
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0000671: 95-168464	0.4436089950138749	['Terpene']	Oryza sativa Japonica Group
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0000384: 2739-13999	0.4476798264873184	['NRP']	Lyngbya majuscula
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0002493: 1205-6076	0.43018399288437476	['NRP']	Paracoccus denitrificans PD1222
BGG_OOSDC	NODE_43_length_121498_cov_23.8	BGC0000846: 192-22933	0.47617230910600056	['Other']	Pseudomonas syringae
